,prog_name,inp,rasp,craft,jax
47,sort,"(1, 4, 2)","[1.0, 2.0, 4.0]","[1, 1, 2, 4]","['rasp_to_transformer_integration_test_BOS', 1, 1, 1]"
48,sort,"(1, 4, 3)","[1.0, 3.0, 4.0]","[1, 1, 3, 4]","['rasp_to_transformer_integration_test_BOS', 1, 1, 1]"
49,sort,"(1, 4, 4)","[1.0, 4.0, 4.0]","[4, 1, 4, 4]","['rasp_to_transformer_integration_test_BOS', 4, 4, 4]"
50,sort,"(1, 4, 5)","[1.0, 4.0, 5.0]","[1, 1, 4, 5]","['rasp_to_transformer_integration_test_BOS', 1, 1, 1]"
51,sort,"(1, 5, 1)","[1.0, 1.0, 5.0]","[1, 1, 1, 5]","['rasp_to_transformer_integration_test_BOS', 1, 1, 1]"
52,sort,"(1, 5, 2)","[1.0, 2.0, 5.0]","[1, 1, 2, 5]","['rasp_to_transformer_integration_test_BOS', 1, 1, 1]"
53,sort,"(1, 5, 3)","[1.0, 3.0, 5.0]","[1, 1, 3, 5]","['rasp_to_transformer_integration_test_BOS', 1, 1, 1]"
54,sort,"(1, 5, 4)","[1.0, 4.0, 5.0]","[1, 1, 4, 5]","['rasp_to_transformer_integration_test_BOS', 1, 1, 1]"
55,sort,"(1, 5, 5)","[1.0, 5.0, 5.0]","[5, 1, 5, 5]","['rasp_to_transformer_integration_test_BOS', 5, 5, 5]"
56,sort,"(2, 1, 1)","[1.0, 1.0, 2.0]","[1, 1, 1, 2]","['rasp_to_transformer_integration_test_BOS', 1, 1, 1]"
57,sort,"(2, 1, 2)","[1.0, 2.0, 2.0]","[2, 1, 2, 2]","['rasp_to_transformer_integration_test_BOS', 2, 2, 2]"
58,sort,"(2, 1, 3)","[1.0, 2.0, 3.0]","[1, 1, 2, 3]","['rasp_to_transformer_integration_test_BOS', 1, 1, 1]"
59,sort,"(2, 1, 4)","[1.0, 2.0, 4.0]","[1, 1, 2, 4]","['rasp_to_transformer_integration_test_BOS', 1, 1, 1]"
60,sort,"(2, 1, 5)","[1.0, 2.0, 5.0]","[1, 1, 2, 5]","['rasp_to_transformer_integration_test_BOS', 1, 1, 1]"
61,sort,"(2, 2, 1)","[1.0, 2.0, 2.0]","[2, 1, 2, 2]","['rasp_to_transformer_integration_test_BOS', 2, 2, 2]"
62,sort,"(2, 2, 2)","[2.0, 2.0, 2.0]","[2, 2, 2, 2]","['rasp_to_transformer_integration_test_BOS', 2, 2, 2]"
63,sort,"(2, 2, 3)","[2.0, 2.0, 3.0]","[2, 2, 2, 3]","['rasp_to_transformer_integration_test_BOS', 2, 2, 2]"
64,sort,"(2, 2, 4)","[2.0, 2.0, 4.0]","[2, 2, 2, 4]","['rasp_to_transformer_integration_test_BOS', 2, 2, 2]"
